2021-02-25 13:45:12,818 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-02-25 13:45:14,823 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-02-25 13:45:16,830 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-02-25 13:45:18,836 DEBUG  ROS Time: 1 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:20,857 DEBUG  ROS Time: 3 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:22,864 DEBUG  ROS Time: 4 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:24,876 DEBUG  ROS Time: 6 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:26,905 DEBUG  ROS Time: 8 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:28,917 DEBUG  ROS Time: 9 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:30,928 DEBUG  ROS Time: 11 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:32,940 DEBUG  ROS Time: 13 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:34,948 DEBUG  ROS Time: 14 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:36,954 DEBUG  ROS Time: 16 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:38,960 DEBUG  ROS Time: 18 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:40,969 DEBUG  ROS Time: 20 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:42,977 DEBUG  ROS Time: 22 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:44,983 DEBUG  ROS Time: 24 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:46,992 DEBUG  ROS Time: 26 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:48,998 DEBUG  ROS Time: 28 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:51,006 DEBUG  ROS Time: 30 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:53,016 DEBUG  ROS Time: 32 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:55,024 DEBUG  ROS Time: 33 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:57,044 DEBUG  ROS Time: 35 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:45:59,054 DEBUG  ROS Time: 37 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:01,061 DEBUG  ROS Time: 39 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:03,068 DEBUG  ROS Time: 41 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:05,073 DEBUG  ROS Time: 43 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:07,080 DEBUG  ROS Time: 45 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:09,088 DEBUG  ROS Time: 47 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:11,094 DEBUG  ROS Time: 49 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:13,102 DEBUG  ROS Time: 51 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:15,110 DEBUG  ROS Time: 53 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:17,116 DEBUG  ROS Time: 55 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:19,121 DEBUG  ROS Time: 57 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:21,128 DEBUG  ROS Time: 59 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:23,137 DEBUG  ROS Time: 61 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:25,143 DEBUG  ROS Time: 63 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:27,149 DEBUG  ROS Time: 65 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:29,156 DEBUG  ROS Time: 67 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:31,164 DEBUG  ROS Time: 69 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:33,170 DEBUG  ROS Time: 71 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:35,174 DEBUG  ROS Time: 73 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:37,180 DEBUG  ROS Time: 75 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:39,186 DEBUG  ROS Time: 77 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:41,193 DEBUG  ROS Time: 79 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:43,204 DEBUG  ROS Time: 81 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:45,211 DEBUG  ROS Time: 83 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:47,219 DEBUG  ROS Time: 85 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:49,224 DEBUG  ROS Time: 87 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:51,230 DEBUG  ROS Time: 89 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:53,236 DEBUG  ROS Time: 91 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:55,240 DEBUG  ROS Time: 93 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:57,250 DEBUG  ROS Time: 95 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:46:59,258 DEBUG  ROS Time: 97 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:01,262 DEBUG  ROS Time: 99 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:03,271 DEBUG  ROS Time: 101 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:05,277 DEBUG  ROS Time: 103 | active tasks: 0 | terminated tasks: 0 | active robots: 2
