2021-07-27 11:11:13,798 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-07-27 11:11:15,827 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-07-27 11:11:17,837 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-07-27 11:11:19,847 DEBUG  ROS Time: 1 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:21,856 DEBUG  ROS Time: 3 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:23,866 DEBUG  ROS Time: 5 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:25,876 DEBUG  ROS Time: 7 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:27,891 DEBUG  ROS Time: 8 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:29,902 DEBUG  ROS Time: 10 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:31,917 DEBUG  ROS Time: 11 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:33,925 DEBUG  ROS Time: 13 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:35,943 DEBUG  ROS Time: 15 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:37,952 DEBUG  ROS Time: 17 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:39,961 DEBUG  ROS Time: 19 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:41,970 DEBUG  ROS Time: 21 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:43,982 DEBUG  ROS Time: 23 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:45,989 DEBUG  ROS Time: 25 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:47,997 DEBUG  ROS Time: 27 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:50,004 DEBUG  ROS Time: 29 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:52,017 DEBUG  ROS Time: 31 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-07-27 11:11:54,024 DEBUG  ROS Time: 33 | active tasks: 0 | terminated tasks: 0 | active robots: 2
