2021-08-17 18:12:28,431 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-08-17 18:12:30,435 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-08-17 18:12:32,441 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-08-17 18:12:34,445 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-08-17 18:12:36,455 DEBUG  ROS Time: 1 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:12:38,467 DEBUG  ROS Time: 3 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:12:40,480 DEBUG  ROS Time: 5 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:12:42,491 DEBUG  ROS Time: 6 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:12:44,498 DEBUG  ROS Time: 8 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:12:46,509 DEBUG  ROS Time: 10 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:12:48,519 DEBUG  ROS Time: 11 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:12:50,527 DEBUG  ROS Time: 13 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:12:52,537 DEBUG  ROS Time: 15 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:12:54,544 DEBUG  ROS Time: 17 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:12:56,552 DEBUG  ROS Time: 19 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:12:58,562 DEBUG  ROS Time: 21 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:00,570 DEBUG  ROS Time: 23 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:02,577 DEBUG  ROS Time: 25 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:04,610 DEBUG  ROS Time: 27 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:06,618 DEBUG  ROS Time: 28 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:08,628 DEBUG  ROS Time: 30 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:10,639 DEBUG  ROS Time: 32 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:12,647 DEBUG  ROS Time: 34 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:14,660 DEBUG  ROS Time: 36 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:16,668 DEBUG  ROS Time: 37 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:18,677 DEBUG  ROS Time: 39 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:20,682 DEBUG  ROS Time: 41 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:22,690 DEBUG  ROS Time: 43 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:24,698 DEBUG  ROS Time: 45 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:26,719 DEBUG  ROS Time: 47 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:28,729 DEBUG  ROS Time: 49 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:30,737 DEBUG  ROS Time: 51 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:32,745 DEBUG  ROS Time: 53 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:34,751 DEBUG  ROS Time: 55 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:36,761 DEBUG  ROS Time: 57 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:38,765 DEBUG  ROS Time: 59 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:40,772 DEBUG  ROS Time: 61 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:42,780 DEBUG  ROS Time: 63 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:44,788 DEBUG  ROS Time: 65 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:46,796 DEBUG  ROS Time: 67 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:48,803 DEBUG  ROS Time: 69 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:50,810 DEBUG  ROS Time: 71 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:52,819 DEBUG  ROS Time: 73 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:54,827 DEBUG  ROS Time: 75 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:56,833 DEBUG  ROS Time: 77 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:13:58,838 DEBUG  ROS Time: 79 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:00,845 DEBUG  ROS Time: 81 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:02,853 DEBUG  ROS Time: 83 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:04,859 DEBUG  ROS Time: 85 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:06,869 DEBUG  ROS Time: 87 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:08,874 DEBUG  ROS Time: 89 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:10,881 DEBUG  ROS Time: 91 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:12,889 DEBUG  ROS Time: 93 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:14,896 DEBUG  ROS Time: 95 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:16,907 DEBUG  ROS Time: 97 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:18,913 DEBUG  ROS Time: 99 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:20,918 DEBUG  ROS Time: 101 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:22,927 DEBUG  ROS Time: 103 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:24,936 DEBUG  ROS Time: 105 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:26,944 DEBUG  ROS Time: 107 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:28,955 DEBUG  ROS Time: 109 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:30,959 DEBUG  ROS Time: 111 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:32,970 DEBUG  ROS Time: 113 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:34,977 DEBUG  ROS Time: 115 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:36,988 DEBUG  ROS Time: 117 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:38,997 DEBUG  ROS Time: 119 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:41,007 DEBUG  ROS Time: 121 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:43,017 DEBUG  ROS Time: 123 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:45,027 DEBUG  ROS Time: 125 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:47,038 DEBUG  ROS Time: 127 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:49,047 DEBUG  ROS Time: 129 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:51,054 DEBUG  ROS Time: 131 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:53,066 DEBUG  ROS Time: 133 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:55,075 DEBUG  ROS Time: 135 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:57,084 DEBUG  ROS Time: 137 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:14:59,094 DEBUG  ROS Time: 139 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:01,106 DEBUG  ROS Time: 141 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:03,119 DEBUG  ROS Time: 143 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:05,136 DEBUG  ROS Time: 145 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:07,145 DEBUG  ROS Time: 147 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:09,152 DEBUG  ROS Time: 149 | active tasks: 0 | terminated tasks: 0 | active robots: 2
